ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 1990-91,Locale [Public School] 1989-90,Locale [Public School] 1988-89,Locale [Public School] 1987-88,Locale [Public School] 1986-87,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1989-90,Total Students All Grades (Excludes AE) [Public School] 1988-89,Total Students All Grades (Excludes AE) [Public School] 1987-88,Total Students All Grades (Excludes AE) [Public School] 1986-87,Free Lunch Eligible [Public School] 1990-91,Free Lunch Eligible [Public School] 1989-90,Free Lunch Eligible [Public School] 1988-89,Free Lunch Eligible [Public School] 1987-88,American Indian/Alaska Native Students [Public School] 1990-91,American Indian/Alaska Native Students [Public School] 1989-90,American Indian/Alaska Native Students [Public School] 1988-89,American Indian/Alaska Native Students [Public School] 1987-88,Asian or Asian/Pacific Islander Students [Public School] 1990-91,Asian or Asian/Pacific Islander Students [Public School] 1989-90,Asian or Asian/Pacific Islander Students [Public School] 1988-89,Asian or Asian/Pacific Islander Students [Public School] 1987-88,Hispanic Students [Public School] 1990-91,Hispanic Students [Public School] 1989-90,Hispanic Students [Public School] 1988-89,Hispanic Students [Public School] 1987-88,Black or African American Students [Public School] 1990-91,Black or African American Students [Public School] 1989-90,Black or African American Students [Public School] 1988-89,Black or African American Students [Public School] 1987-88,White Students [Public School] 1990-91,White Students [Public School] 1989-90,White Students [Public School] 1988-89,White Students [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1990-91,Full-Time Equivalent (FTE) Teachers [Public School] 1989-90,Full-Time Equivalent (FTE) Teachers [Public School] 1988-89,Full-Time Equivalent (FTE) Teachers [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1986-87
MILLER INT,Texas,483432003836,4834320,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,1047,995,907,875,882,–,†,†,†,4,6,3,3,49,53,42,38,359,305,268,223,52,60,46,50,583,571,548,561,51.60,52.00,†,48.00,49.40
MILLER JORDAN INT             ,Texas,483879006321,4838790,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,1290,1251,1248,1288,1154,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,1236,1195,1186,1223,2,1,="0",†,52,55,62,65,2.00,71.00,†,68.00,58.90
MILLER POINT EL,Texas,482499006429,4824990,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,728,740,711,677,†,–,†,†,†,1,="0",1,†,18,15,20,14,137,156,142,125,156,145,119,126,416,424,429,412,36.70,36.00,†,33.00,†
MILLIKEN MIDDLE,Texas,482730003073,4827300,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,770,677,605,560,1061,–,†,†,†,="0",="0",="0",†,10,8,3,3,20,22,16,14,12,13,6,1,728,634,580,542,40.10,40.00,†,34.00,43.00
MILLS EL,Texas,483060003459,4830600,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,437,474,437,445,413,–,†,†,†,="0",="0",1,†,2,2,3,†,45,34,30,55,6,10,7,8,384,428,396,382,28.80,28.00,†,27.00,33.50
MILLSAP EL,Texas,481611001190,4816110,1-Large city,1-Large city,1-Large city,1-Large city,†,897,1067,1072,981,985,–,†,†,†,5,2,2,1,44,10,14,12,28,19,13,12,40,17,16,15,780,1019,1027,941,58.80,59.00,†,55.00,54.20
MILLSAP EL,Texas,483087003476,4830870,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,406,387,383,397,390,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,20,17,18,18,1,3,4,2,385,367,361,377,26.30,26.00,†,24.00,18.00
MILLSAP H S,Texas,483087003477,4830870,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,172,190,187,190,182,–,†,†,†,="0",="0",="0",†,="0",="0",1,†,8,8,13,7,2,4,4,2,162,178,169,181,11.10,11.00,†,16.00,16.00
MILNE EL,Texas,482364021036,4823640,1-Large city,†,†,†,†,746,†,†,†,†,–,†,†,†,2,†,†,†,35,†,†,†,66,†,†,†,477,†,†,†,166,†,†,†,46.80,†,†,†,†
MILTON EL,Texas,482679003024,4826790,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,1052,1073,1176,700,699,–,†,†,†,="0",="0",="0",†,4,="0",="0",†,994,1016,1108,648,2,="0",="0",1,52,57,68,51,46.50,47.00,†,34.00,34.50
MIMI FARLEY EL,Texas,481104000570,4811040,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,105,107,103,115,100,–,†,†,†,="0",="0",="0",1,1,="0",="0",†,8,9,9,15,9,4,3,2,87,94,91,97,13.10,13.00,†,13.00,11.00
MIMS EL,Texas,483104006146,4831040,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,716,676,662,612,674,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,715,609,592,547,="0",="0",="0",†,77,67,70,65,39.60,40.00,†,27.00,29.80
MINA EL,Texas,480957000411,4809570,6-Small town,6-Small town,6-Small town,6-Small town,†,1324,1293,635,811,794,–,†,†,†,8,5,="0",†,4,1,4,2,347,345,141,185,157,136,64,86,808,806,426,538,79.90,79.00,†,45.00,51.30
MINEOLA EL,Texas,483093003479,4830930,6-Small town,6-Small town,6-Small town,6-Small town,†,365,369,364,353,569,–,†,†,†,1,="0",="0",†,="0",="0",="0",†,11,17,16,17,48,61,68,50,305,291,280,286,21.50,21.00,†,18.00,31.00
MINEOLA H S,Texas,483093003480,4830930,6-Small town,6-Small town,6-Small town,6-Small town,†,429,436,439,424,408,–,†,†,†,="0",="0",="0",†,1,1,1,1,11,18,20,18,54,61,49,43,363,356,369,362,30.30,30.00,†,33.00,30.40
MINEOLA MIDDLE,Texas,483093003481,4830930,6-Small town,6-Small town,6-Small town,6-Small town,†,367,361,357,361,341,–,†,†,†,="0",1,1,†,="0",="0",="0",†,22,14,13,8,52,42,44,46,293,304,299,307,21.90,22.00,†,19.00,17.80
MINEOLA PRI,Texas,483093003478,4830930,6-Small town,6-Small town,6-Small town,6-Small town,†,465,452,399,402,117,–,†,†,†,1,2,="0",†,="0",="0",="0",†,26,26,18,11,75,67,55,63,363,357,326,328,24.70,25.00,†,26.00,3.00
MINERAL WELLS EL,Texas,483095003489,4830950,6-Small town,6-Small town,6-Small town,6-Small town,†,271,289,315,286,278,–,†,†,†,1,1,2,1,4,1,4,3,40,46,47,37,21,13,20,16,205,228,242,229,19.60,20.00,†,15.00,22.00
MINERAL WELLS H S,Texas,483095003487,4830950,6-Small town,6-Small town,6-Small town,6-Small town,†,901,957,1006,996,994,–,†,†,†,1,1,3,†,13,13,14,21,118,135,130,122,52,68,80,59,717,740,779,794,73.00,73.00,†,64.00,58.50
MINERAL WELLS J H,Texas,483095003488,4830950,6-Small town,6-Small town,6-Small town,6-Small town,†,570,528,536,570,556,–,†,†,†,4,2,="0",†,7,7,4,6,82,72,75,77,35,28,21,31,442,419,436,456,30.80,31.00,†,30.00,36.00
MINNIE MAE HOPPER EL,Texas,484538005162,4845380,6-Small town,6-Small town,6-Small town,6-Small town,†,281,296,332,336,329,–,†,†,†,="0",="0",="0",†,1,="0",="0",3,109,104,120,125,110,124,137,141,61,68,75,67,11.00,11.00,†,10.00,10.10
MIRANDO EL                                        ,Texas,483099003490,4830990,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,86,78,78,81,82,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,70,67,67,64,="0",="0",="0",3,16,11,11,14,8.40,7.00,†,5.00,6.50
MIRANDO H S,Texas,483099003491,4830990,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,41,45,35,43,59,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,39,43,33,41,="0",="0",="0",†,2,2,2,2,7.20,7.00,†,9.00,6.00
MISS JEWELL EL                                    ,Texas,481524001036,4815240,6-Small town,6-Small town,6-Small town,6-Small town,†,364,554,561,320,300,–,†,†,†,2,3,="0",3,13,20,18,11,42,43,52,29,91,109,90,41,279,379,401,236,24.20,30.00,†,18.00,12.80
MISSION BEND EL,Texas,481965005715,4819650,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,1153,1121,981,797,656,–,†,†,†,1,1,="0",†,102,134,143,115,259,250,207,122,158,145,110,105,633,591,521,455,51.70,52.00,†,36.00,50.60
MISSION GLEN EL,Texas,481965006256,4819650,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,1081,906,846,775,649,–,†,†,†,="0",="0",="0",†,186,155,137,109,276,233,198,199,143,125,129,127,476,393,382,340,46.20,46.00,†,36.00,34.30
MISSION H S,Texas,483104003496,4831040,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,2006,2599,2469,2297,2130,–,†,†,†,="0",="0",2,1,1,2,="0",2,2758,2468,2336,2158,3,3,3,1,128,126,128,135,141.30,141.00,†,134.00,118.30
MISSION J H,Texas,483104003497,4831040,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,806,827,1049,1465,1361,–,†,†,†,="0",1,1,†,2,1,="0",†,748,768,995,1408,="0",="0",1,2,56,57,52,55,54.80,54.00,†,72.00,62.20
MISSION VALLEY EL,Texas,484415005009,4844150,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,224,238,229,252,264,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,26,25,18,27,6,3,4,3,192,210,207,222,14.50,14.00,†,13.00,13.00
MISSION VALLEY EL,Texas,484668006810,4846680,1-Large city,1-Large city,†,†,†,813,782,†,†,†,–,†,†,†,="0",="0",†,†,3,3,†,†,764,733,†,†,3,3,†,†,43,43,†,†,42.10,6.00,†,†,†
MISSOURI CITY MIDDLE,Texas,481965001823,4819650,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,953,850,745,716,685,–,†,†,†,="0",1,="0",†,43,49,44,53,77,64,59,61,786,667,561,500,47,69,81,102,42.90,43.00,†,38.00,45.00
MITCHELL BOULEVARD EL,Texas,481970001884,4819700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,540,560,567,584,602,–,†,†,†,2,="0",="0",†,2,1,1,4,50,29,31,28,480,524,528,548,6,6,7,4,27.20,27.00,†,23.00,30.20
MITCHELL EL,Texas,482364002537,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,630,625,630,642,609,–,†,†,†,="0",="0",="0",1,18,31,32,30,285,256,248,222,232,249,236,255,95,89,114,134,33.00,33.00,†,29.00,30.40
MITCHELL EL,Texas,484415005010,4844150,†,2-Midsize city,2-Midsize city,2-Midsize city,†,†,161,203,210,200,†,†,†,†,†,="0",="0",†,†,="0",="0",†,†,138,165,162,†,10,18,13,†,13,20,35,†,13.00,†,14.00,14.10
MITZI BOND EL,Texas,481830005708,4818300,1-Large city,1-Large city,1-Large city,1-Large city,†,656,647,630,567,555,–,†,†,†,="0",="0",="0",†,11,4,4,2,273,256,234,214,1,3,5,6,371,384,387,345,36.60,37.00,†,31.00,32.30
MOBEETIE ELEMENTARY,Texas,483111003500,4831110,†,†,†,†,†,†,†,†,†,41,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,5.00
MOBEETIE SCHOOL,Texas,483111003501,4831110,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,52,65,91,93,44,–,†,†,†,2,="0",="0",†,="0",="0",="0",†,="0",1,="0",†,="0",="0",="0",1,50,64,91,92,12.50,13.00,†,15.00,8.30
MOCKINGBIRD EL,Texas,481623001365,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,458,425,448,387,304,–,†,†,†,="0",="0",="0",†,10,6,11,8,123,124,117,109,96,87,90,88,229,208,230,182,37.50,37.00,†,2.00,18.00
MOHAWK EL,Texas,483702004141,4837020,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,282,256,288,305,315,–,†,†,†,="0",1,="0",†,21,16,16,15,4,3,4,4,2,2,10,8,255,234,258,278,20.60,21.00,†,21.00,20.10
MONAHANS H S,Texas,483117003505,4831170,6-Small town,6-Small town,6-Small town,6-Small town,†,735,713,725,764,808,–,†,†,†,6,7,2,7,="0",="0",2,2,328,285,270,261,38,39,34,31,363,382,417,463,50.40,50.00,†,53.00,58.30
MONCRIEF EMERGENCY SHELTER,Texas,481970006543,4819700,†,†,2-Midsize city,†,†,†,†,32,†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,4,†,†,†,6,†,†,†,22,†,†,†,†,†,†
MONDAY EL,Texas,482520005754,4825200,6-Small town,6-Small town,6-Small town,6-Small town,†,502,516,548,493,653,–,†,†,†,1,="0",="0",†,="0",4,3,†,122,112,117,90,57,83,82,73,322,317,346,330,31.60,32.00,†,32.00,29.00
MONNIE MEYER WYLIE PRI,Texas,482297002327,4822970,6-Small town,6-Small town,6-Small town,6-Small town,†,324,371,367,403,406,–,†,†,†,="0",="0",="0",†,2,2,="0",2,20,27,22,23,100,120,105,122,202,222,240,256,18.00,18.00,†,20.00,21.70
MONNIG MIDDLE,Texas,481970001885,4819700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,855,861,843,864,973,–,†,†,†,1,1,="0",†,15,17,21,21,56,58,68,61,163,149,148,183,620,636,606,599,43.10,43.00,†,46.00,48.00
MONTAGUE EL,Texas,483120003510,4831200,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,87,71,78,66,63,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,14,14,10,12,="0",="0",="0",†,73,57,68,54,5.10,5.00,†,5.00,3.50
MONTCLAIR EL,Texas,481527001074,4815270,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,600,598,601,536,517,–,†,†,†,="0",1,1,1,3,3,9,4,188,203,193,168,22,22,18,21,387,369,380,342,29.10,29.00,†,24.00,22.80
MONTCLAIR EL,Texas,482034002035,4820340,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,401,403,402,433,423,–,†,†,†,3,3,1,2,4,5,7,4,101,101,66,40,20,17,19,27,273,277,309,360,21.50,22.00,†,23.00,19.00
MONTE ALTO EL,Texas,483123003511,4831230,6-Small town,6-Small town,6-Small town,6-Small town,†,422,465,458,422,464,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,418,445,430,391,="0",="0",="0",†,33,20,28,31,33.90,34.00,†,32.00,30.10
MONTE CRISTO EL,Texas,481818021040,4818180,2-Midsize city,†,†,†,†,226,†,†,†,†,–,†,†,†,="0",†,†,†,="0",†,†,†,282,†,†,†,="0",†,†,†,5,†,†,†,31.10,†,†,†,†
MONTE VISTA,Texas,483873006617,4838730,1-Large city,1-Large city,1-Large city,†,†,20,14,7,†,†,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,2,4,2,†,1,="0",="0",†,17,10,5,†,3.00,†,†,†,†
MONTEREY H S                                      ,Texas,482850003201,4828500,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,1371,1343,1350,1377,1426,–,†,†,†,3,2,2,2,12,13,10,8,230,186,172,141,77,59,50,31,1049,1083,1116,1195,80.10,80.00,†,83.00,77.70
MONTGOMERY EL,Texas,482297002328,4822970,6-Small town,6-Small town,6-Small town,6-Small town,†,406,407,412,421,406,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,37,27,27,23,104,118,121,118,265,262,264,280,23.00,23.00,†,23.00,26.00
MONTGOMERY EL,Texas,483126003512,4831260,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,672,612,601,536,533,–,†,†,†,="0",="0",="0",†,="0",="0",2,†,24,29,24,23,96,93,91,84,552,490,484,429,35.30,35.00,†,35.00,44.40
MONTGOMERY EL,Texas,482364002539,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,654,661,614,662,748,–,†,†,†,="0",="0",="0",†,4,2,1,1,129,127,115,116,506,511,478,531,15,21,20,14,33.00,33.00,†,32.00,36.80
MONTGOMERY EL,Texas,483294003648,4832940,1-Large city,1-Large city,1-Large city,1-Large city,†,987,970,956,921,912,–,†,†,†,="0",="0",="0",†,22,24,27,17,270,265,238,224,319,264,241,236,376,417,450,444,53.70,54.00,†,51.00,38.60
MONTGOMERY H S,Texas,483126003513,4831260,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,526,485,452,486,485,–,†,†,†,="0",1,="0",†,1,1,="0",1,11,13,16,16,67,61,70,81,447,409,366,388,34.20,34.00,†,37.00,34.80
MONTGOMERY J H,Texas,483126003514,4831260,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,465,414,397,377,356,–,†,†,†,="0",="0",="0",†,1,1,1,2,14,7,10,8,51,59,57,59,399,347,329,308,29.40,29.00,†,30.00,17.80
MONTGOMERY MIDDLE,Texas,483126006018,4831260,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,295,293,241,251,222,–,†,†,†,="0",="0",="0",†,="0",="0",2,1,10,8,6,7,37,41,31,36,248,244,202,207,19.20,19.00,†,16.00,18.00
MONTGOMERY PRI,Texas,481305000808,4813050,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,503,541,590,501,512,–,†,†,†,14,7,5,4,18,17,20,15,209,165,184,130,38,53,41,38,292,299,340,314,31.60,35.00,†,30.00,29.70
MONTWOOD H S,Texas,484071006914,4840710,1-Large city,†,†,†,†,1726,†,†,†,†,–,†,†,†,="0",†,†,†,3,†,†,†,1363,†,†,†,24,†,†,†,336,†,†,†,97.10,†,†,†,†
MOODY EL,Texas,483129003515,4831290,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,339,367,369,353,351,–,†,†,†,="0",2,2,†,="0",="0",="0",†,62,67,66,73,37,40,43,42,240,258,258,238,23.00,23.00,†,17.00,17.00
MOODY H S,Texas,483129003516,4831290,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,332,271,253,253,261,–,†,†,†,1,1,1,1,="0",1,="0",†,57,43,40,28,34,26,29,30,240,200,183,194,21.90,22.00,†,22.00,16.30
MOODY H S,Texas,481527001075,4815270,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,1850,1775,1702,1198,1131,–,†,†,†,2,1,="0",4,2,2,4,4,1664,1600,1539,1081,114,110,99,66,68,62,60,43,104.40,104.00,†,75.00,71.30
MOODY ST SCH,Texas,489942005377,4899420,†,†,†,2-Midsize city,†,†,†,†,39,28,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,5,†,†,†,9,†,†,†,25,†,†,†,="0.00",16.70
MOORE EL,Texas,480870021052,4808700,2-Midsize city,†,†,†,†,737,†,†,†,†,–,†,†,†,="0",†,†,†,6,†,†,†,13,†,†,†,20,†,†,†,698,†,†,†,36.10,†,†,†,†
MOORE EL,Texas,483432005568,4834320,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,716,737,751,738,776,–,†,†,†,="0",="0",="0",2,144,116,107,118,105,111,114,96,37,43,50,59,430,467,480,463,38.80,39.00,†,35.00,38.30
MOORE EL,Texas,481527006529,4815270,2-Midsize city,2-Midsize city,2-Midsize city,†,†,864,1000,988,†,†,–,†,†,†,4,6,3,†,5,9,7,†,471,497,479,†,47,48,48,†,337,440,451,†,45.30,45.00,†,†,†
MOORE EL,Texas,481611005438,4816110,1-Large city,1-Large city,1-Large city,1-Large city,†,925,1019,1043,1033,971,–,†,†,†,="0",1,1,1,18,22,16,18,19,28,26,21,25,39,26,19,863,929,974,974,70.00,60.00,†,54.00,57.40
MOORE ELEMENTARY,Texas,481527001076,4815270,†,†,†,2-Midsize city,†,†,†,†,883,605,†,†,†,†,†,†,†,3,†,†,†,4,†,†,†,443,†,†,†,31,†,†,†,402,†,†,†,44.00,28.70
MOORE M H EL,Texas,481970001887,4819700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,842,770,821,742,719,–,†,†,†,3,3,5,5,8,8,10,11,663,600,594,516,13,13,12,9,155,146,200,201,39.20,39.00,†,29.00,34.00
MOORE MST MAGNET SCHOOL,Texas,484347004942,4843470,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,524,528,504,517,496,–,†,†,†,="0",="0",="0",†,1,3,3,†,118,101,95,81,56,56,59,69,349,368,347,367,33.90,34.00,†,33.00,33.70
MORAN EL,Texas,483132003517,4831320,†,†,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,†,†,53,53,50,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,2,2,†,†,="0",†,†,†,51,51,†,†,†,4.00,4.00
MORAN MIDDLE,Texas,483132006587,4831320,†,†,7-Rural - outside CBSA/MSA,†,†,†,†,25,†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,1,†,†,†,="0",†,†,†,24,†,†,†,†,†,†
MORAN SCHOOL,Texas,483132003518,4831320,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,136,113,30,42,24,–,†,†,†,3,3,="0",†,="0",="0",="0",†,22,6,3,5,="0",="0",="0",†,111,104,27,37,14.10,14.00,†,6.00,5.20
MOREHEAD MIDDLE,Texas,481830001673,4818300,1-Large city,1-Large city,1-Large city,1-Large city,†,1571,1487,1424,1366,1365,–,†,†,†,2,1,="0",2,34,26,18,15,731,688,672,637,22,22,21,22,782,750,713,690,68.40,68.00,†,75.00,60.60
MORENO ANNEX                                      ,Texas,481830001690,4818300,1-Large city,1-Large city,1-Large city,1-Large city,†,117,124,116,122,105,–,†,†,†,="0",="0",="0",†,1,1,1,†,84,89,79,77,6,7,8,9,26,27,28,36,11.00,11.00,†,7.00,16.90
MORENO EL,Texas,480972000440,4809720,6-Small town,6-Small town,6-Small town,6-Small town,†,370,379,467,369,360,–,†,†,†,="0",="0",="0",1,6,5,9,3,260,269,312,259,17,18,21,19,87,87,125,87,20.00,20.00,†,21.00,18.10
MORENO J H,Texas,480972000441,4809720,6-Small town,6-Small town,6-Small town,6-Small town,†,624,619,645,651,649,–,†,†,†,="0",="0",="0",†,6,5,6,4,405,402,424,410,21,28,21,15,192,184,194,222,37.90,38.00,†,37.00,34.00
MORGAN EL MAGNET SCHOOL,Texas,482028002001,4820280,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,806,845,832,744,920,–,†,†,†,2,3,2,3,14,21,23,7,157,186,184,149,475,487,461,435,158,148,162,150,52.50,53.00,†,48.00,57.10
MORGAN ELEMENTARY,Texas,483138003519,4831380,†,†,†,†,†,†,†,†,†,71,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,6.00
MORGAN MILL EL,Texas,483141003521,4831410,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,95,81,73,62,68,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,1,3,1,2,="0",1,1,1,94,77,71,59,6.40,6.00,†,6.00,4.70
MORGAN SCHOOL,Texas,483138003520,4831380,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,135,154,159,165,84,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,47,60,59,58,="0",="0",="0",†,88,94,100,107,17.00,17.00,†,18.00,8.30
MORNINGSIDE EL,Texas,481970001888,4819700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,899,847,1016,1019,958,–,†,†,†,2,1,3,3,18,23,17,7,48,31,26,26,699,650,846,773,132,142,124,210,47.00,47.00,†,44.00,45.40
MORNINGSIDE EL,Texas,481168006225,4811680,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,948,1018,962,893,718,–,†,†,†,2,="0",="0",†,1,="0",="0",1,963,945,890,830,="0",="0",="0",†,94,73,72,62,22.00,58.00,†,40.00,19.20
MORNINGSIDE EL,Texas,481761001519,4817610,6-Small town,6-Small town,6-Small town,6-Small town,†,533,544,518,523,543,–,†,†,†,4,2,1,2,29,36,29,31,208,202,150,148,="0",="0",3,3,292,304,335,339,28.70,29.00,†,29.00,27.90
MORNINGSIDE MIDDLE,Texas,481970001889,4819700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,725,730,683,718,729,–,†,†,†,1,="0",="0",†,14,20,11,12,48,31,30,28,617,638,603,637,45,41,39,41,37.50,38.00,†,41.00,37.00
MORRILL EL,Texas,482247002264,4822470,1-Large city,1-Large city,1-Large city,1-Large city,†,486,456,482,472,446,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,453,429,447,438,="0",="0",2,1,33,27,33,33,30.70,31.00,†,29.00,31.60
MORRIS MIDDLE,Texas,482967006142,4829670,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,1032,974,952,906,846,–,†,†,†,1,1,="0",1,10,13,8,8,611,564,537,497,13,4,3,4,397,392,404,396,55.70,56.00,†,50.00,39.40
MORRIS UPCHURCH MIDDLE,Texas,483621004072,4836210,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,391,371,378,354,363,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,1,3,1,2,82,72,81,79,308,296,296,273,41.50,23.00,†,23.00,19.70
MORTON EL,Texas,480870000255,4808700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,761,782,729,710,699,–,†,†,†,1,3,="0",1,103,84,59,59,95,124,81,61,130,108,115,112,432,463,474,477,41.20,41.00,†,37.00,29.90
MORTON EL,Texas,483147003522,4831470,6-Small town,6-Small town,6-Small town,6-Small town,†,487,452,459,490,465,–,†,†,†,="0",="0",="0",†,="0",="0",="0",2,371,296,307,298,25,25,27,41,136,131,125,149,32.40,31.00,†,33.00,32.60
MORTON J H,Texas,483147003524,4831470,6-Small town,6-Small town,6-Small town,6-Small town,†,166,159,177,103,94,–,†,†,†,="0",="0",="0",†,="0",="0",="0",1,97,93,109,59,14,10,15,9,55,56,53,34,27.40,15.00,†,8.00,10.00
