ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 1990-91,Locale [Public School] 1989-90,Locale [Public School] 1988-89,Locale [Public School] 1987-88,Locale [Public School] 1986-87,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1989-90,Total Students All Grades (Excludes AE) [Public School] 1988-89,Total Students All Grades (Excludes AE) [Public School] 1987-88,Total Students All Grades (Excludes AE) [Public School] 1986-87,Free Lunch Eligible [Public School] 1990-91,Free Lunch Eligible [Public School] 1989-90,Free Lunch Eligible [Public School] 1988-89,Free Lunch Eligible [Public School] 1987-88,American Indian/Alaska Native Students [Public School] 1990-91,American Indian/Alaska Native Students [Public School] 1989-90,American Indian/Alaska Native Students [Public School] 1988-89,American Indian/Alaska Native Students [Public School] 1987-88,Asian or Asian/Pacific Islander Students [Public School] 1990-91,Asian or Asian/Pacific Islander Students [Public School] 1989-90,Asian or Asian/Pacific Islander Students [Public School] 1988-89,Asian or Asian/Pacific Islander Students [Public School] 1987-88,Hispanic Students [Public School] 1990-91,Hispanic Students [Public School] 1989-90,Hispanic Students [Public School] 1988-89,Hispanic Students [Public School] 1987-88,Black or African American Students [Public School] 1990-91,Black or African American Students [Public School] 1989-90,Black or African American Students [Public School] 1988-89,Black or African American Students [Public School] 1987-88,White Students [Public School] 1990-91,White Students [Public School] 1989-90,White Students [Public School] 1988-89,White Students [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1990-91,Full-Time Equivalent (FTE) Teachers [Public School] 1989-90,Full-Time Equivalent (FTE) Teachers [Public School] 1988-89,Full-Time Equivalent (FTE) Teachers [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1986-87
ABILENE STATE SCH,Texas,480744006347,4807440,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,59,65,71,113,†,–,†,†,†,="0",="0",="0",1,="0",1,1,1,13,15,19,33,6,6,9,13,40,43,42,65,8.70,9.00,†,5.00,†
ABRAHAM KAZEN MIDDLE,Texas,484068005591,4840680,1-Large city,1-Large city,1-Large city,1-Large city,†,916,976,906,916,944,–,†,†,†,1,="0",="0",†,="0",="0",="0",†,888,952,875,880,4,1,3,3,23,23,28,33,53.10,53.00,†,49.00,54.80
ACADEMY AT CARRIE F THOMAS,Texas,481023000486,4810230,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,284,322,374,398,411,–,†,†,†,="0",="0",="0",2,9,11,12,11,27,18,30,30,12,22,15,14,236,271,317,341,18.00,18.00,†,19.00,19.00
ACADEMY H S,Texas,480747000040,4807470,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,237,214,224,223,324,–,†,†,†,1,="0",="0",†,1,1,3,3,21,26,28,22,1,1,="0",†,213,186,193,198,14.10,14.00,†,17.00,17.90
ACADEMY INT,Texas,480747000039,4807470,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,342,326,315,314,412,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,35,44,44,39,2,1,="0",†,305,281,271,275,20.00,20.00,†,19.00,19.20
ACADEMY J H,Texas,480747006348,4807470,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,285,234,228,239,†,–,†,†,†,="0",="0",1,†,="0",="0",="0",†,35,26,30,28,="0",="0",1,1,250,208,196,210,15.40,15.00,†,12.00,†
ACKER SPECIAL PROGRAMS CENTER,Texas,482001001955,4820010,6-Small town,6-Small town,6-Small town,6-Small town,†,330,377,368,394,646,–,†,†,†,="0",3,1,4,="0",="0",="0",†,136,129,116,140,12,7,14,11,291,238,237,239,20.70,23.00,†,22.00,33.70
ACTON EL,Texas,482139002139,4821390,6-Small town,6-Small town,6-Small town,6-Small town,†,462,607,544,482,565,–,†,†,†,3,6,4,†,1,3,1,1,13,15,10,11,2,2,4,2,443,581,525,468,31.20,31.00,†,26.00,28.40
AD WHEAT MIDDLE,Texas,481431000921,4814310,6-Small town,6-Small town,6-Small town,6-Small town,†,425,516,541,386,487,–,†,†,†,="0",="0",="0",†,1,1,3,3,102,100,82,33,49,43,49,21,393,372,407,329,23.90,24.00,†,16.00,18.00
ADA MAE FAUBION EL,Texas,482703003041,4827030,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,614,572,475,479,1123,–,†,†,†,1,1,="0",†,6,3,2,1,41,41,21,23,16,11,4,4,550,516,448,451,36.60,37.00,†,33.00,70.10
ADAM EL,Texas,481611001178,4816110,1-Large city,1-Large city,1-Large city,1-Large city,†,809,805,823,833,830,–,†,†,†,1,3,3,†,13,15,15,15,52,34,31,30,26,19,23,24,717,734,751,764,50.60,51.00,†,50.00,49.40
ADAMS EL,Texas,481431000916,4814310,6-Small town,6-Small town,6-Small town,6-Small town,†,178,162,166,163,162,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,47,37,35,33,18,17,14,15,113,108,117,115,11.40,12.00,†,13.00,13.00
ADAMS HILL EL,Texas,483312003687,4833120,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,689,695,668,609,750,–,†,†,†,="0",="0",="0",†,5,8,6,7,308,293,272,223,104,102,90,98,272,292,300,281,35.50,36.00,†,32.00,30.00
ADAMS HOUSE,Texas,480967006646,4809670,2-Midsize city,2-Midsize city,†,†,†,7,10,†,†,†,–,†,†,†,="0",="0",†,†,9,="0",†,†,28,2,†,†,402,1,†,†,398,7,†,†,="0.70",1.00,†,†,†
ADAMS MIDDLE,Texas,480780000091,4807800,6-Small town,6-Small town,6-Small town,6-Small town,†,486,877,923,961,984,–,†,†,†,="0",="0",="0",†,2,1,1,1,718,718,763,801,11,7,7,8,176,151,152,151,44.30,44.00,†,55.00,53.80
ADAPTIVE BEHAVIOR CTR                             ,Texas,481611021032,4816110,1-Large city,†,†,†,†,23,†,†,†,†,–,†,†,†,="0",†,†,†,="0",†,†,†,2,†,†,†,2,†,†,†,19,†,†,†,9.40,†,†,†,†
ADAPTIVE LIVING CTR,Texas,480967006647,4809670,†,2-Midsize city,†,†,†,†,3,†,†,†,†,†,†,†,†,="0",†,†,†,1,†,†,†,1,†,†,†,1,†,†,†,="0",†,†,†,†,†,†,†
ADELLE TURNER EL,Texas,481623001375,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,682,640,633,603,626,–,†,†,†,2,1,="0",†,="0",="0",="0",†,="0",1,1,1,679,638,630,600,1,="0",2,2,36.20,36.00,†,1.00,26.90
ADMIN SERVICES,Texas,480783006350,4807830,1-Large city,1-Large city,1-Large city,1-Large city,†,34,50,64,77,†,–,†,†,†,="0",="0",="0",†,="0",3,3,3,1,6,8,7,5,14,10,13,28,27,43,54,8.50,9.00,†,="0.00",†
ADRIAN ELEMENTARY,Texas,480750000041,4807500,†,†,†,†,†,†,†,†,†,51,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,4.50
ADRIAN SCHOOL,Texas,480750000042,4807500,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,105,112,108,106,47,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,34,33,35,24,="0",="0",="0",†,71,79,73,82,12.40,12.00,†,13.00,6.90
ADULT LEARNING CENTER,Texas,480744006062,4807440,†,†,†,†,†,†,†,†,†,="0",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0.00"
AGNES COTTON ACADEMY,Texas,483873004322,4838730,1-Large city,1-Large city,1-Large city,1-Large city,†,556,529,553,537,511,–,†,†,†,1,1,1,†,13,12,11,17,496,483,507,484,7,6,8,4,39,27,26,32,32.80,33.00,†,32.00,31.80
AGNEW MIDDLE,Texas,483039003401,4830390,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,765,712,691,696,972,–,†,†,†,2,1,2,1,10,7,8,8,68,52,46,46,51,37,25,20,634,615,610,621,38.40,38.00,†,30.00,39.80
AGUA DULCE EL,Texas,480753000043,4807530,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,277,280,278,280,280,–,†,†,†,1,3,2,†,="0",="0",="0",†,178,181,171,170,="0",="0",="0",†,98,96,105,110,22.40,22.00,†,15.00,24.20
