Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District],Total Number Operational Schools [Public School] 1995-96,Total Number Operational Schools [Public School] 1994-95,Total Number Operational Schools [Public School] 1993-94,Total Number Operational Schools [Public School] 1992-93,Total Number Operational Schools [Public School] 1991-92,Locale [District] 1995-96,Locale [District] 1994-95,Locale [District] 1993-94,Locale [District] 1992-93,Locale [District] 1991-92,School District Level Code (SCHLEV) [District Finance] 1995-96,School District Level Code (SCHLEV) [District Finance] 1994-95,School District Level Code (SCHLEV) [District Finance] 1991-92,Total Students All Grades (Excludes AE) [District] 1995-96,Total Students All Grades (Excludes AE) [District] 1994-95,Total Students All Grades (Excludes AE) [District] 1993-94,Total Students All Grades (Excludes AE) [District] 1992-93,Total Students All Grades (Excludes AE) [District] 1991-92,Individualized Education Program Students [District] 1995-96,Individualized Education Program Students [District] 1994-95,Individualized Education Program Students [District] 1993-94,Individualized Education Program Students [District] 1992-93,Individualized Education Program Students [District] 1991-92,American Indian/Alaska Native Students [Public School] 1995-96,American Indian/Alaska Native Students [Public School] 1994-95,American Indian/Alaska Native Students [Public School] 1993-94,American Indian/Alaska Native Students [Public School] 1992-93,American Indian/Alaska Native Students [Public School] 1991-92,Asian or Asian/Pacific Islander Students [Public School] 1995-96,Asian or Asian/Pacific Islander Students [Public School] 1994-95,Asian or Asian/Pacific Islander Students [Public School] 1993-94,Asian or Asian/Pacific Islander Students [Public School] 1992-93,Asian or Asian/Pacific Islander Students [Public School] 1991-92,Hispanic Students [Public School] 1995-96,Hispanic Students [Public School] 1994-95,Hispanic Students [Public School] 1993-94,Hispanic Students [Public School] 1992-93,Hispanic Students [Public School] 1991-92,Black or African American Students [Public School] 1995-96,Black or African American Students [Public School] 1994-95,Black or African American Students [Public School] 1993-94,Black or African American Students [Public School] 1992-93,Black or African American Students [Public School] 1991-92,White Students [Public School] 1995-96,White Students [Public School] 1994-95,White Students [Public School] 1993-94,White Students [Public School] 1992-93,White Students [Public School] 1991-92,Total General Revenue (TOTALREV) [District Finance] 1995-96,Total General Revenue (TOTALREV) [District Finance] 1994-95,Total General Revenue (TOTALREV) [District Finance] 1991-92,Total Expenditures (TOTALEXP) [District Finance] 1995-96,Total Expenditures (TOTALEXP) [District Finance] 1994-95,Total Expenditures (TOTALEXP) [District Finance] 1991-92,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1995-96,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1994-95,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1991-92,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1995-96,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1994-95,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1991-92,Total Current Expenditures - Non El-Sec Programs (TNONELSE) per Pupil (V33) [District Finance] 1995-96,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 1995-96
KENEDY COUNTY WIDE CSD,Texas,4825410,KENEDY,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,50,43,43,43,44,5,7,3,3,3,0,0,0,0,0,0,0,0,0,0,47,42,43,43,43,0,0,0,0,0,3,1,0,0,1,2522000,2624000,1002000,2384000,1281000,649000,50440,61023,22773,47680,29791,14750,0,15080
KENEDY ISD,Texas,4825440,KARNES,4,3,3,3,3,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1170,1142,1133,1113,1114,173,154,142,120,109,0,1,0,0,0,6,4,4,6,3,859,833,829,798,796,32,38,34,36,35,273,266,267,273,279,8389000,7584000,5982000,7460000,6963000,5232000,7170,6641,5370,6376,6097,4697,47,5830
KENNARD ISD,Texas,4825470,HOUSTON,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,405,414,415,428,420,84,72,60,56,64,0,0,1,0,0,1,1,2,2,2,1,3,3,3,0,132,111,114,116,120,271,299,295,307,298,3004000,2763000,2488000,3136000,2675000,2164000,7417,6674,5924,7743,6461,5152,0,6822
KENNEDALE ISD,Texas,4825500,TARRANT,4,5,4,5,5,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2290,2111,1954,1929,1868,263,258,242,262,238,6,8,10,8,4,32,21,18,17,12,211,193,181,182,145,186,159,121,133,134,1855,1730,1627,1589,1569,11586000,10121000,7773000,14388000,9862000,7157000,5059,4794,4161,6277,4670,3831,17,4162
KERENS ISD,Texas,4825530,NAVARRO,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,696,671,706,691,665,128,120,118,126,92,0,2,0,1,0,3,0,0,0,0,32,27,31,40,41,232,218,243,241,235,429,424,432,409,389,4501000,3679000,3368000,5017000,3801000,3001000,6467,5483,5065,7208,5665,4513,0,5468
KERMIT ISD,Texas,4825560,WINKLER,4,4,4,4,4,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1585,1635,1690,1725,1828,298,290,266,253,226,0,1,2,1,1,3,2,3,2,3,914,933,907,945,990,26,26,32,30,32,642,673,746,747,802,9503000,11091000,8577000,10770000,8433000,7800000,5996,6783,4692,6795,5158,4267,5,6111
KERRVILLE ISD,Texas,4825590,KERR,8,7,7,7,5,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,4637,4442,4389,4250,4065,674,614,568,529,466,10,8,8,10,13,37,35,37,29,27,1493,1360,1357,1301,1180,163,149,135,147,145,2934,2890,2869,2763,2700,25701000,23771000,17729000,23342000,22117000,17158000,5543,5351,4361,5033,4979,4221,37,4609
KILGORE ISD,Texas,4825620,GREGG,8,8,8,8,8,4-Urban fringe of midsize city,4-Urban fringe of midsize city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,3637,3786,3773,3742,3690,387,364,370,380,356,8,9,8,4,8,11,8,3,4,6,203,171,143,100,82,769,815,785,816,808,2646,2783,2834,2818,2786,16528000,16810000,16813000,17265000,24405000,14432000,4544,4440,4556,4744,6442,3911,13,4241
KILLEEN ISD,Texas,4825660,BELL,40,37,37,34,34,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,27892,27394,26793,24587,23611,2919,2783,2534,2142,2056,139,120,134,110,108,1271,1278,1229,1149,1079,4389,4211,3986,3675,3504,10395,10089,9710,8570,8137,11698,11696,11734,11083,10756,152840000,133701000,98928000,142767000,153354000,93924000,5480,4881,4190,5117,5598,3978,12,4527
KINGSVILLE ISD,Texas,4825680,KLEBERG,12,11,12,12,10,5-Large town,5-Large town,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,5136,5146,5210,5177,5051,504,426,440,414,404,8,3,6,8,3,59,48,55,54,33,3763,3765,3777,3729,3653,249,228,219,215,212,1057,1102,1163,1171,1149,29039000,27512000,23638000,31998000,26823000,22335000,5654,5346,4680,6225,5206,4422,42,5145
