Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District],Total Number Operational Schools [Public School] 1995-96,Total Number Operational Schools [Public School] 1994-95,Total Number Operational Schools [Public School] 1993-94,Total Number Operational Schools [Public School] 1992-93,Total Number Operational Schools [Public School] 1991-92,Locale [District] 1995-96,Locale [District] 1994-95,Locale [District] 1993-94,Locale [District] 1992-93,Locale [District] 1991-92,School District Level Code (SCHLEV) [District Finance] 1995-96,School District Level Code (SCHLEV) [District Finance] 1994-95,School District Level Code (SCHLEV) [District Finance] 1991-92,Total Students All Grades (Excludes AE) [District] 1995-96,Total Students All Grades (Excludes AE) [District] 1994-95,Total Students All Grades (Excludes AE) [District] 1993-94,Total Students All Grades (Excludes AE) [District] 1992-93,Total Students All Grades (Excludes AE) [District] 1991-92,Individualized Education Program Students [District] 1995-96,Individualized Education Program Students [District] 1994-95,Individualized Education Program Students [District] 1993-94,Individualized Education Program Students [District] 1992-93,Individualized Education Program Students [District] 1991-92,American Indian/Alaska Native Students [Public School] 1995-96,American Indian/Alaska Native Students [Public School] 1994-95,American Indian/Alaska Native Students [Public School] 1993-94,American Indian/Alaska Native Students [Public School] 1992-93,American Indian/Alaska Native Students [Public School] 1991-92,Asian or Asian/Pacific Islander Students [Public School] 1995-96,Asian or Asian/Pacific Islander Students [Public School] 1994-95,Asian or Asian/Pacific Islander Students [Public School] 1993-94,Asian or Asian/Pacific Islander Students [Public School] 1992-93,Asian or Asian/Pacific Islander Students [Public School] 1991-92,Hispanic Students [Public School] 1995-96,Hispanic Students [Public School] 1994-95,Hispanic Students [Public School] 1993-94,Hispanic Students [Public School] 1992-93,Hispanic Students [Public School] 1991-92,Black or African American Students [Public School] 1995-96,Black or African American Students [Public School] 1994-95,Black or African American Students [Public School] 1993-94,Black or African American Students [Public School] 1992-93,Black or African American Students [Public School] 1991-92,White Students [Public School] 1995-96,White Students [Public School] 1994-95,White Students [Public School] 1993-94,White Students [Public School] 1992-93,White Students [Public School] 1991-92,Total General Revenue (TOTALREV) [District Finance] 1995-96,Total General Revenue (TOTALREV) [District Finance] 1994-95,Total General Revenue (TOTALREV) [District Finance] 1991-92,Total Expenditures (TOTALEXP) [District Finance] 1995-96,Total Expenditures (TOTALEXP) [District Finance] 1994-95,Total Expenditures (TOTALEXP) [District Finance] 1991-92,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1995-96,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1994-95,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1991-92,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1995-96,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1994-95,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1991-92,Total Current Expenditures - Non El-Sec Programs (TNONELSE) per Pupil (V33) [District Finance] 1995-96,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 1995-96
CHAPEL HILL ISD,Texas,4813680,TITUS,2,1,1,1,1,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,01-Elementary school system only,466,434,340,316,267,63,47,44,45,28,3,1,3,1,0,1,3,1,0,0,54,40,29,27,11,15,15,7,8,7,393,375,300,280,249,2735000,2115000,1237000,2913000,2709000,1073000,5869,4873,4633,6075,6076,4019,0,4901
CHARLOTTE ISD,Texas,4813710,ATASCOSA,3,4,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,508,506,489,504,520,79,76,77,73,74,0,0,0,0,0,0,0,0,0,0,427,426,398,403,409,0,0,2,0,0,81,80,89,101,111,3890000,3448000,3129000,3423000,3113000,2778000,7657,6814,6017,6734,6128,5342,0,5827
CHEROKEE ISD,Texas,4813740,SAN SABA,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,172,160,154,164,145,35,32,24,37,24,2,2,2,2,0,0,0,0,0,0,33,31,26,36,36,7,4,3,4,4,130,123,123,122,105,1432000,1370000,939000,1477000,1100000,792000,8326,8563,6476,8587,6875,5462,0,6860
CHESTER ISD,Texas,4813770,TYLER,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,251,226,219,239,246,39,28,27,31,32,1,1,1,2,0,0,0,0,0,0,7,2,0,0,0,59,61,67,67,65,184,162,151,170,181,1802000,1594000,1459000,1498000,1445000,1259000,7179,7053,5931,5968,6394,5118,0,5705
CHICO ISD,Texas,4813800,WISE,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,637,575,569,549,530,90,101,88,78,84,2,1,0,0,1,0,0,0,0,0,37,30,31,34,31,1,0,0,1,1,597,544,538,514,497,3714000,2911000,2835000,4000000,3102000,2959000,5830,5063,5349,6279,5395,5583,0,5000
CHILDRESS ISD,Texas,4813860,CHILDRESS,3,3,3,3,3,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1297,1291,1248,1235,1241,272,266,222,195,198,8,11,11,8,0,10,9,8,7,10,356,333,321,316,294,99,96,122,116,106,824,842,794,788,826,7274000,6963000,6017000,6927000,6583000,5135000,5608,5393,4849,5341,5099,4138,0,5308
CHILLICOTHE ISD,Texas,4813890,HARDEMAN,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,318,297,278,266,266,29,28,28,29,24,2,2,1,1,1,1,1,0,0,0,84,73,70,55,43,28,25,24,32,24,203,196,189,178,191,2158000,2080000,1506000,2085000,1544000,1448000,6786,7003,5662,6557,5195,5444,0,5179
CHILTON ISD,Texas,4813920,FALLS,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,375,355,347,329,337,36,41,51,45,48,0,0,0,0,1,0,0,0,0,0,124,124,121,110,109,93,84,88,88,88,158,147,138,131,139,2545000,2402000,2026000,2533000,3182000,1683000,6787,6766,6012,6749,8944,4994,0,6360
CHINA SPRING ISD,Texas,4813960,MCLENNAN,4,4,3,3,3,4-Urban fringe of midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1304,1247,1133,1042,1021,249,219,174,160,126,2,2,1,1,0,1,1,1,4,3,53,56,49,43,48,7,1,2,1,1,1241,1187,1080,993,969,7447000,5947000,4037000,5578000,5201000,3500000,5711,4769,3954,4229,4156,3428,0,3873
CHIRENO ISD,Texas,4813980,NACOGDOCHES,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,305,323,321,282,251,38,40,41,42,32,0,0,0,0,0,0,3,3,3,0,15,21,13,9,8,45,48,51,45,44,245,251,254,225,199,2067000,1895000,1532000,2353000,1659000,1173000,6777,5867,6104,7715,5136,4673,0,5613
CHISUM ISD,Texas,4800012,LAMAR,3,3,3,2,2,6-Small town,6-Small town,5-Large town,5-Large town,5-Large town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,783,770,751,763,747,101,126,107,106,90,8,8,6,4,3,2,1,0,0,0,2,4,5,5,4,93,100,101,111,99,678,657,639,643,641,4497000,4622000,4039000,4058000,3917000,3001000,5743,6003,5407,5183,5087,4017,0,4729
CHRISTOVAL ISD,Texas,4814010,TOM GREEN,6,3,2,2,2,4-Urban fringe of midsize city,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,358,321,301,293,280,61,54,48,47,46,0,0,0,0,2,1,0,0,0,0,62,64,66,63,66,2,0,0,0,0,293,257,235,230,212,2603000,2354000,2028000,2203000,1858000,1554000,7271,7333,7243,6154,5788,5550,0,6117
CISCO ISD,Texas,4814070,EASTLAND,5,3,3,3,3,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,997,956,981,929,912,211,178,185,164,153,4,2,3,0,0,1,0,0,0,0,92,95,91,93,103,25,32,26,32,29,875,827,862,804,779,5759000,5263000,4203000,5802000,5580000,3442000,5776,5505,4609,5799,5803,3774,0,4725
CITY VIEW ISD,Texas,4814130,WICHITA,1,1,1,1,1,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,753,780,785,756,719,91,67,56,58,62,9,5,2,2,0,35,47,46,39,43,77,84,85,70,67,68,63,64,61,59,564,581,588,584,550,4579000,4194000,3273000,3372000,2980000,3150000,6081,5377,4552,4478,3821,4381,3,3853
CLARENDON ISD,Texas,4814160,DONLEY,3,3,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,512,516,520,507,485,76,68,68,62,59,1,2,1,1,1,2,0,0,0,0,38,36,37,39,37,75,80,75,51,46,396,398,407,416,401,3923000,3288000,2649000,3767000,3768000,2260000,7662,6372,5462,7238,7234,4660,0,6184
CLARKSVILLE ISD,Texas,4814190,RED RIVER,3,3,3,3,4,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1336,1335,1370,1383,1416,199,200,200,183,185,12,6,3,2,2,2,2,2,1,2,58,59,49,50,51,663,663,661,643,646,601,605,659,687,712,8457000,8089000,7553000,7846000,7994000,7271000,6330,6059,5334,5873,5988,5135,0,5540
CLAUDE ISD,Texas,4814250,ARMSTRONG,2,2,2,2,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,418,417,398,401,395,51,54,45,43,37,0,0,0,0,0,3,2,2,3,3,14,11,9,7,10,1,0,0,0,0,400,404,387,391,382,2859000,2614000,2060000,2605000,2314000,1775000,6840,6269,5215,6232,5549,4494,0,5624
CLEAR CREEK ISD,Texas,4814280,GALVESTON,30,27,27,26,25,3-Urban fringe of large city,3-Urban fringe of large city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,26563,25305,24496,23706,23113,2161,2038,1912,1796,1892,75,70,64,56,48,2104,1979,1920,1837,1729,2819,2592,2390,2174,2088,1742,1565,1511,1443,1411,19823,19099,18656,18196,17747,134522000,142757000,99974000,144390000,146457000,116308000,5064,5641,4325,5430,5785,5032,5,4546
CLEBURNE ISD,Texas,4814310,JOHNSON,14,12,11,11,11,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,5720,5687,5841,5797,5765,639,567,605,618,614,18,14,11,14,9,34,24,30,26,32,1005,962,940,860,796,342,342,366,363,371,4321,4345,4502,4534,4547,30504000,28882000,25442000,27658000,25852000,24019000,5333,5079,4413,4834,4545,4166,32,4274
CLEVELAND ISD,Texas,4814370,LIBERTY,5,5,5,5,5,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2857,2921,2923,2989,2853,310,309,323,301,258,8,4,3,1,1,10,11,12,12,15,470,448,427,381,338,624,628,618,651,629,1745,1830,1866,1944,1870,12994000,14048000,12019000,15530000,13754000,10949000,4548,4809,4213,5427,4700,3838,0,4760
CLIFTON ISD,Texas,4814400,BOSQUE,3,3,3,3,2,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1224,1156,1122,1104,1025,164,139,140,140,131,0,0,1,0,1,1,2,2,4,2,204,191,166,153,138,62,65,58,63,61,957,898,895,884,823,6965000,5942000,4881000,6039000,5628000,4245000,5690,5140,4762,4934,4869,4141,0,4481
CLINT ISD,Texas,4814430,EL PASO,9,8,7,7,6,3-Urban fringe of large city,3-Urban fringe of large city,1-Large city,1-Large city,1-Large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,6064,5603,5321,4819,4208,450,396,359,314,335,13,5,0,0,1,12,6,4,2,0,5498,5023,4717,4191,3595,34,35,26,20,20,507,534,576,606,592,36183000,30172000,19601000,36330000,35067000,17962000,5967,5385,4658,5984,6245,4269,0,4970
CLYDE CISD,Texas,4814450,CALLAHAN,5,5,4,4,4,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1546,1549,1528,1464,1470,233,247,230,217,201,5,3,3,4,4,2,0,4,5,5,91,98,74,71,62,3,3,2,1,1,1445,1445,1446,1383,1395,8649000,8239000,6877000,8748000,8239000,6034000,5594,5319,4678,5658,5319,4105,0,4713
COAHOMA ISD,Texas,4814490,HOWARD,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,975,971,1007,922,886,90,86,84,89,88,4,3,4,4,0,1,1,1,1,1,206,201,243,201,190,1,0,2,2,1,763,766,757,714,694,6126000,5902000,5289000,5423000,5508000,4960000,6283,6078,5970,5554,5666,5598,0,5294
COLDSPRING-OAKHURST CISD,Texas,4814520,SAN JACINTO,4,4,4,4,4,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1778,1730,1672,1704,1708,150,137,142,142,156,4,3,3,6,1,0,0,0,0,0,61,31,33,25,23,586,565,564,577,602,1127,1131,1072,1096,1082,10023000,9846000,8547000,9972000,8817000,7623000,5637,5691,5004,5609,5097,4463,30,4794
COLEMAN ISD,Texas,4814550,COLEMAN,4,4,6,5,5,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1201,1195,1164,1136,1112,153,159,168,169,162,1,2,3,2,2,4,1,0,1,1,256,265,257,239,226,59,61,62,67,68,881,866,845,827,810,7407000,6651000,5842000,7095000,7133000,5385000,6167,5566,5254,5908,5969,4843,79,5407
COLLEGE STATION ISD,Texas,4807350,BRAZOS,10,10,8,8,9,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,6545,6410,6150,5975,5712,494,468,472,479,432,1,2,2,2,2,454,427,428,392,385,542,507,493,507,448,776,761,690,664,682,4772,4713,4537,4410,4195,39981000,37515000,26539000,44058000,34860000,25555000,6109,5853,4646,6731,5438,4474,15,4782
COLLINSVILLE ISD,Texas,4814580,GRAYSON,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,456,407,383,387,394,54,50,52,53,58,3,1,0,1,0,0,0,0,0,0,35,31,27,21,18,0,0,0,0,0,418,375,356,365,376,3233000,2182000,1833000,3506000,4393000,1521000,7090,5361,4652,7689,10794,3860,0,5164
COLMESNEIL ISD,Texas,4814600,TYLER,3,3,3,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,467,465,430,407,360,71,70,57,57,45,0,1,0,0,0,0,0,0,0,0,2,1,1,3,3,33,30,36,35,29,432,433,393,369,328,2983000,2822000,2167000,2888000,2828000,1862000,6388,6069,6019,6171,6080,5172,0,5490
COLORADO ISD,Texas,4814640,MITCHELL,5,5,5,5,5,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1214,1256,1242,1251,1270,204,204,240,231,232,1,4,5,1,0,2,0,0,0,0,475,488,476,497,508,71,82,79,82,94,665,682,682,671,668,9006000,8816000,7285000,8274000,8532000,6224000,7418,7019,5736,6815,6793,4901,101,6210
COLUMBIA-BRAZORIA ISD,Texas,4814670,BRAZORIA,8,8,8,8,8,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,3662,3715,3717,3675,3669,399,406,437,382,386,3,3,1,0,1,7,6,10,10,6,509,524,501,460,459,603,603,582,568,578,2540,2579,2623,2637,2625,17776000,17178000,15696000,16999000,16360000,14736000,4854,4624,4278,4638,4401,4016,1,4395
COLUMBUS ISD,Texas,4814700,COLORADO,4,4,4,3,3,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1693,1689,1615,1620,1587,233,208,195,198,184,0,1,1,0,0,4,3,0,1,3,275,252,227,246,231,270,286,277,285,278,1144,1147,1117,1088,1071,8863000,8040000,6798000,7562000,7543000,6177000,5235,4760,4284,4465,4465,3892,0,4213
COMAL ISD,Texas,4814730,COMAL,13,12,11,11,11,2-Midsize city,7-Rural - outside CBSA/MSA,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,8586,7992,7301,6777,6378,1253,1056,886,790,659,10,8,4,4,4,31,23,17,15,12,1593,1499,1377,1280,1210,95,66,66,42,44,6857,6396,5837,5436,5108,51021000,43748000,32202000,61695000,40446000,26517000,5942,5474,5049,7186,5061,4158,45,5068
COMANCHE ISD,Texas,4814760,COMANCHE,4,4,4,4,4,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1280,1239,1189,1144,1187,156,139,137,127,125,3,4,4,2,1,3,0,0,0,0,430,386,369,326,366,4,4,4,3,3,840,845,821,813,817,4546000,5868000,4969000,5888000,5019000,4438000,3552,4736,4186,4600,4051,3739,0,4085
COMFORT ISD,Texas,4814790,KENDALL,3,3,3,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,916,888,836,811,836,156,158,144,113,100,0,1,2,1,1,1,1,0,0,0,385,375,336,316,319,6,3,4,3,2,524,508,494,491,512,6436000,5342000,5186000,6475000,5070000,3809000,7026,6016,6203,6976,5625,4556,0,5611
COMMERCE ISD,Texas,4814820,HUNT,4,4,4,4,4,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1681,1670,1648,1600,1587,278,265,233,200,193,5,4,2,3,0,32,23,18,16,20,73,68,53,45,49,396,378,363,364,338,1175,1197,1212,1172,1180,10370000,9058000,7446000,9719000,8514000,6759000,6169,5424,4692,5782,5097,4259,0,5426
COMMUNITY ISD,Texas,4814850,COLLIN,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,921,889,843,820,842,149,130,119,115,119,3,6,6,11,10,2,1,2,1,3,66,70,65,62,71,23,20,20,15,17,827,792,750,731,741,5394000,4898000,4346000,4966000,4699000,3565000,5857,5510,5162,5356,5273,4234,1,5115
COMO-PICKTON CISD,Texas,4814880,HOPKINS,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,692,655,670,584,595,99,99,101,86,69,4,8,6,6,5,1,2,1,0,0,129,116,113,86,84,37,30,36,29,29,521,499,514,463,477,3732000,3299000,2693000,3275000,3011000,2376000,5393,5037,4526,4733,4583,3993,0,4510
COMSTOCK ISD,Texas,4814920,VAL VERDE,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,131,127,119,127,116,13,11,5,12,11,3,0,0,0,0,1,1,1,1,0,67,65,62,63,54,0,0,0,0,0,60,61,56,63,61,1110000,1050000,879000,1047000,1005000,876000,8473,8268,7578,7977,7890,7552,0,7687
CONNALLY ISD,Texas,4814970,MCLENNAN,6,6,6,5,4,2-Midsize city,2-Midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2510,2500,2426,2384,2392,406,378,328,286,262,8,6,7,8,8,28,28,26,28,30,330,345,314,283,294,316,333,293,272,266,1828,1788,1786,1793,1790,13780000,12877000,10486000,13618000,14138000,10384000,5490,5151,4384,5393,5628,4341,1,4731
CONROE ISD,Texas,4815000,MONTGOMERY,36,36,33,33,32,2-Midsize city,2-Midsize city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,28573,27534,26140,25428,24348,4206,3965,3536,3053,2785,41,35,28,28,30,402,370,352,302,265,3763,3422,3075,2741,2556,1625,1607,1549,1559,1515,22742,22100,21228,20798,19911,172527000,154222000,113302000,222321000,210434000,108913000,6038,5601,4653,7769,7628,4473,4,5587
COOLIDGE ISD,Texas,4815120,LIMESTONE,2,2,2,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,6-Small town,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,246,235,258,229,241,70,56,49,48,34,0,0,0,0,2,0,0,0,0,0,55,58,61,56,54,91,82,92,89,82,100,95,105,84,103,2201000,2846000,1655000,2247000,1958000,1361000,8947,12111,6867,9073,8332,5647,0,7496
COOPER ISD,Texas,4815150,DELTA,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,877,857,843,830,789,144,159,149,134,110,5,9,1,0,1,0,0,1,1,1,17,15,15,6,5,121,119,125,109,126,734,714,701,714,656,5274000,4528000,3754000,5772000,4428000,3231000,6014,5284,4758,6582,5167,4095,0,5050
COPPELL ISD,Texas,4815210,DALLAS,10,10,9,8,7,3-Urban fringe of large city,3-Urban fringe of large city,1-Large city,1-Large city,1-Large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,6357,5685,4968,4341,3895,475,454,442,376,306,50,42,36,31,35,536,492,401,347,301,425,357,300,274,236,166,144,130,116,111,5180,4650,4101,3573,3212,43754000,38956000,21323000,54262000,35026000,30394000,6883,6852,5474,8518,6161,7803,20,4820
COPPERAS COVE ISD,Texas,4815240,CORYELL,11,11,10,10,10,4-Urban fringe of midsize city,4-Urban fringe of midsize city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,7586,7527,7191,6655,6320,806,801,729,628,618,56,55,61,63,48,302,289,252,253,239,772,735,680,602,535,1848,1771,1567,1354,1301,4608,4677,4635,4383,4191,41595000,37739000,26091000,49022000,40808000,24982000,5483,5014,4128,6460,5418,3953,3,4730
CORPUS CHRISTI ISD,Texas,4815270,NUECES,62,63,62,62,61,1-Large city,1-Large city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,41624,41902,42374,41970,41797,5357,5239,5174,5063,4901,148,147,139,128,125,337,320,299,268,254,28166,28210,28447,28294,28219,2378,2417,2520,2462,2383,10595,10808,10968,10818,10816,237956000,220131000,191146000,233233000,212543000,191418000,5717,5253,4573,5599,5067,4580,15,5167
CORRIGAN-CAMDEN ISD,Texas,4815300,POLK,4,4,4,4,4,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1195,1210,1188,1166,1210,204,198,182,173,151,1,0,0,0,0,1,5,7,9,6,299,291,275,254,246,351,363,370,371,408,543,551,536,532,550,8625000,7773000,6460000,7713000,6857000,5802000,7218,6424,5339,6454,5667,4795,0,5561
CORSICANA ISD,Texas,4815330,NAVARRO,10,12,10,9,9,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,4966,4894,4822,4818,4785,625,571,464,460,401,12,7,6,6,4,40,33,25,26,24,753,652,598,499,464,1549,1528,1497,1467,1461,2612,2674,2696,2820,2831,27443000,25347000,20716000,25241000,23102000,17675000,5526,5179,4329,5081,4720,3694,3,4757
COTTON CENTER ISD,Texas,4815360,HALE,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,186,177,181,168,158,20,17,20,9,11,1,0,0,0,0,1,1,0,0,0,94,94,106,108,101,0,0,0,0,0,90,82,75,60,57,1307000,1313000,1052000,1191000,1194000,975000,7027,7418,6658,6403,6746,6171,0,6188
